player_contracts_final3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhl_player_id,full_name,team_abbrev,position,age,contract_years_total,years_remaining,contract_start_date,contract_end_date,signing_date,contract_type,no_trade_clause,no_movement_clause,signing_age,signing_team,contract_status,roster_status,retained_percentage,sync_date,data_source,cap_hit_percentage,base_salary,signing_bonus,performance_bonus,clause_details,arbitration_eligible,ufa_year,draft_year,draft_round,draft_overall,must_sign_by,base_2025_26,sb_2025_26,pb_potential_2025_26,cap_hit_2025_26,base_2026_27,sb_2026_27,pb_potential_2026_27,cap_hit_2026_27,base_2027_28,sb_2027_28,pb_potential_2027_28,cap_hit_2027_28,base_2028_29,sb_2028_29,pb_potential_2028_29,cap_hit_2028_29,base_2029_30,sb_2029_30,pb_potential_2029_30,cap_hit_2029_30,base_2030_31,sb_2030_31,pb_potential_2030_31,cap_hit_2030_31
,"Johansson, Victor",TOR,LD,19,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2024.0,4.0,120.0,"Jun. 1, 2028",,,,,,,,,,,,,,,,,,,,,,,,
,"Lahey, Matt",TOR,LD,19,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2024.0,7.0,200.0,"Aug. 15, 2028",,,,,,,,,,,,,,,,,,,,,,,,
,"Mayes, Nathan",TOR,LD,19,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2024.0,7.0,225.0,"Jun. 1, 2026",,,,,,,,,,,,,,,,,,,,,,,,
,"Mccue, Sam",TOR,LW,20,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2024.0,7.0,216.0,"Jun. 1, 2026",,,,,,,,,,,,,,,,,,,,,,,,
,"Obvintsev, Timofei",TOR,G,20,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2024.0,5.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,
,"Plesovskikh, Alexander",TOR,LW,19,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2024.0,5.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malinoski, Hudson",TOR,C,21,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2023.0,5.0,153.0,"Aug. 15, 2027",,,,,,,,,,,,,,,,,,,,,,,,
,"Moldenhauer, Nicholas",TOR,RW,21,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2022.0,3.0,95.0,"Aug. 15, 2027",,,,,,,,,,,,,,,,,,,,,,,,
,"Miller, Joe",TOR,C,23,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2020.0,6.0,180.0,"Aug. 15, 2026",,,,,,,,,,,,,,,,,,,,,,,,
,"Slepets, Kirill",TOR,RW,26,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2019.0,5.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kizimov, Semyon",TOR,RW,25,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2018.0,7.0,211.0,,,,,,,,,,,,,,,,,,,,,,,,,
,"Der-Arguchintsev, Semyon",TOR,C,25,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2018.0,3.0,76.0,"Sep. 15, 2027",,,,,,,,,,,,,,,,,,,,,,,,
,"Kara, Vladislav",TOR,LW,27,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2017.0,4.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bobylev, Vladimir",TOR,LW,28,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2016.0,5.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chebykin, Nikolai",TOR,LW,28,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2016.0,7.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,
