Player,Position,Team,ES IND XGFP20,ES ACT2XPF,SOO,SOOdiff,SOT%,ES ISF (P20 WOI),ES ISAg (P20 WOI),ES ISF% (WOI),ES P2SAg (P20 WOI),ES XGFP20 (WOI),ES XGAP20 (WOI),ES OPREB (P20 WOI),ES OddMRAg (P20),ES OZSTART %,XGF %,ES CORSIFOR%
"Dmitry Kulikov","D","Florida",0.060927229506081704,0.06027407744801159,21.115225924524736,1.1617478367719962,0.06962250032518871,2.6058280995130056,1.2120130695409328,0.6825396825396826,2.7876300599441457,0.8143751701983294,0.5482497617369418,1.9998215647425392,0.4242045743393265,0.32456140350877194,0.597651746355258,0.5437956204379562
"Gustav Forsling","D","Florida",0.06293779989573943,-0.015180470803964419,24.888867559824224,-1.2432718064110593,0.07753022453164121,2.2923517964052005,2.2923517964052005,0.5,4.2026449600762,0.8680452119115498,0.9596826185362252,2.7699250873229504,0.5730879491013001,0.3333333333333333,0.4749313313781995,0.5130718954248366
"Niko Mikkola","D","Florida",0.048036697398881015,0.11436638705673796,23.590952704027014,-1.277611978485397,0.0930241937329865,1.9488370134674275,1.9488370134674275,0.5,3.4104647735679983,0.767839177902056,0.6633618488538949,2.5443149898046973,0.5413436148520632,0.30749354005167956,0.5364998791556822,0.4798807749627422
"Seth Jones","D","Florida",0.0578176710524003,0.08657063723802867,23.68432986195222,-1.2712545000100433,0.08134237177033302,1.973306879969196,2.0214363160660054,0.4939759036144578,3.369060526776676,0.8412433606022335,0.6190412265331354,2.3583423687436733,0.3369060526776676,0.33962264150943394,0.5760817911887266,0.5312883435582823
"Uvis Balinskis","D","Florida",0.02638044104793603,0.3053403606106679,20.09073437188743,-0.16981168118134157,0.09591727816300924,1.6586040082930196,2.3220456116102275,0.4166666666666667,4.312370421561851,0.8275296386529553,0.854559012591509,3.6489288182446433,0,0.24390243902439024,0.49196553228078777,0.47706422018348627
"Brandt Clarke","D","Los Angeles",0.22940184191424356,0.07977557439314746,20.661749742197145,3.421467921669608,0.07903735984441018,2.1642419141517375,2.4734193304591283,0.4666666666666667,3.400951579381301,0.9185491190160205,0.8156257799085698,2.782596746766519,0,0.2835820895522388,0.529675016969533,0.4728682170542636
"Brian Dumoulin","D","Los Angeles",0.01236924537245068,-0.01236924537245068,26.286927072724083,-6.811455550437904,0.09337376313916301,3.0599560131323145,2.4862142606700055,0.5517241379310345,4.016192267236162,0.9359703874431307,1.194946414442571,4.398686768877702,1.147483504924618,0.25773195876288657,0.43923366065482566,0.38461538461538464
"Cody Ceci","D","Los Angeles",0.045668603652063856,-0.045668603652063856,26.949822485756215,-8.02422266246459,0.07282014130054205,1.7027210252762988,3.0270596004911976,0.36,5.108163075828896,0.7602636650129053,1.0983983595343372,3.846888242290897,0.7567649001227994,0.17721518987341772,0.4090381440908281,0.40955137481910275
"Drew Doughty","D","Los Angeles",0.02868754584623231,-0.02868754584623231,27.55252075241874,-4.06277686592414,0.06061478906302343,2.0903738285196667,2.6478068494582447,0.4411764705882353,4.738180677977912,0.8205246389318696,1.1355675434831205,2.2297320837543113,0.41807476570393337,0.1736111111111111,0.4194713553421856,0.44368600682593856
"Jacob Moverare","D","Los Angeles",0,0,14.620310962199799,-7.83597939518258,0,0,0,0,0,0.09646376971120568,0.015209044033049516,0,0,0.5,0.8638071028828902,0.6
"Joel Edmundson","D","Los Angeles",0.024956285343888683,-0.024956285343888683,24.795285754141027,-2.284934437626671,0.07035291791657021,1.9522688346491572,2.4403360433114467,0.4444444444444444,3.416470460636025,0.6483044641138642,0.9742807943493738,2.1149579042032536,0.4880672086622893,0.264,0.3995503229999008,0.4772727272727273
"Mikey Anderson","D","Los Angeles",0.06975846891982561,-0.06975846891982561,28.772161156005087,-8.212788935835244,0.054282334856940034,1.971314841726164,2.426233651355279,0.4482758620689655,5.0041069059202625,0.7331610731182675,1.1600091324631556,2.426233651355279,0,0.128,0.38726632764279206,0.3911290322580645
"Brock Faber","D","Minnesota",0.014441230486370768,-0.014441230486370768,27.14024658037371,-7.295958629867351,0.0540128605633177,2.1056237701527833,1.5040169786805595,0.5833333333333334,3.7600424467013984,0.6346613647176843,0.6422621968512037,3.008033957361119,0.30080339573611187,0.3282442748091603,0.49702377167973133,0.4892086330935252
"Jacob Middleton","D","Minnesota",0.03155402835711142,-0.03155402835711142,26.69794005183293,-6.854210796857301,0.08843420480953183,2.0738521804251384,2.0738521804251384,0.5,5.467428475666274,0.6009787959217049,0.876245716498302,2.262384196827424,0.18853201640228534,0.2,0.40682969370524064,0.41841004184100417
"Jared Spurgeon","D","Minnesota",0.07737978093632666,0.1072810586549572,26.894048830698477,-7.107742846790978,0.11482951867906402,2.2159300750954065,2.4005909146866906,0.48,4.801181829373381,0.6579360442690544,0.9455592886241616,2.7699125938692584,0,0.21100917431192662,0.4103136633905434,0.42292490118577075
"Jon Merrill","D","Minnesota",0.009812339523546619,-0.009812339523546619,23.90892001533555,-6.767914830845799,0,2.5472298874973487,0,1,1.698153258331566,0.6290579531393197,0.46614621966765735,3.396306516663132,0,0.21052631578947367,0.5743750514820101,0.47368421052631576
"Jonas Brodin","D","Minnesota",0.04615240951477119,-0.04615240951477119,26.80376051217566,-7.328961229749264,0.08141418313764501,1.6528787638470328,1.5026170580427571,0.5238095238095238,3.4560192334983415,0.5340063008285059,0.6520756441941937,2.704710704476963,0.9015702348256543,0.3333333333333333,0.45022715594771645,0.4758364312267658
"Zach Bogosian","D","Minnesota",0.014605027118862284,-0.014605027118862284,27.764968508504936,-12.357652494275769,0.1039780241985051,2.1343632482975927,1.2196361418843387,0.6363636363636364,7.0129078158349465,0.7099126057614799,0.9336071716835825,3.353999390181931,1.2196361418843387,0.34782608695652173,0.43194649404528385,0.390625
"Zeev Buium","D","Minnesota",0.009008721811158093,-0.009008721811158093,28.99517169905375,-14.074355799266428,0.033356581185548226,1.8044434419758701,1.8044434419758701,0.5,8.119995488891416,0.6569577899612473,1.2143001580198964,2.706665162963805,0.45111086049396754,0.41379310344827586,0.3510781560981604,0.3763440860215054
